Run,Assay Type,AvgSpotLen,Bases,Biomaterial_provider,BioProject,BioSample,Bytes,cell_line_id,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),incubated_with_4su_for,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study
SRR2936983,RNA-Seq,50,229447450,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280374,104901983,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439686,GSM1945924,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945924,4sU-seq of YRI individual NA18498_60min,SRP066450
SRR2936984,RNA-Seq,52,398118240,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280375,264881678,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439687,GSM1945925,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945925,4sU-seq of YRI individual NA18498_60min,SRP066450
SRR2936985,RNA-Seq,52,363352184,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280376,267147074,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439688,GSM1945926,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945926,4sU-seq of YRI individual NA18498_60min,SRP066450
SRR2936986,RNA-Seq,52,428845300,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18498,PRJNA302818,SAMN04280377,298913755,NA18498,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439689,GSM1945927,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945927,4sU-seq of YRI individual NA18498_60min,SRP066450
SRR2936987,RNA-Seq,52,1087537828,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18499,PRJNA302818,SAMN04280378,750921607,NA18499,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439690,GSM1945928,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945928,4sU-seq of YRI individual NA18499_30min,SRP066450
SRR2936988,RNA-Seq,52,593161868,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18499,PRJNA302818,SAMN04280379,444329139,NA18499,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439691,GSM1945929,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945929,4sU-seq of YRI individual NA18499_30min,SRP066450
SRR2936989,RNA-Seq,52,1074007792,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18499,PRJNA302818,SAMN04280380,720785998,NA18499,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439692,GSM1945930,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945930,4sU-seq of YRI individual NA18499_30min,SRP066450
SRR2936990,RNA-Seq,52,826834060,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18499,PRJNA302818,SAMN04280381,574715772,NA18499,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439693,GSM1945931,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945931,4sU-seq of YRI individual NA18499_60min,SRP066450
SRR2936991,RNA-Seq,52,433935944,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18499,PRJNA302818,SAMN04280382,326737738,NA18499,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439694,GSM1945932,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945932,4sU-seq of YRI individual NA18499_60min,SRP066450
SRR2936992,RNA-Seq,52,817554608,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18499,PRJNA302818,SAMN04280383,552712871,NA18499,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439695,GSM1945933,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945933,4sU-seq of YRI individual NA18499_60min,SRP066450
SRR2936993,RNA-Seq,52,837271292,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18501,PRJNA302818,SAMN04280384,591078830,NA18501,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439696,GSM1945934,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945934,4sU-seq of YRI individual NA18501_30min,SRP066450
SRR2936994,RNA-Seq,52,856735360,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18501,PRJNA302818,SAMN04280385,594208482,NA18501,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439697,GSM1945935,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945935,4sU-seq of YRI individual NA18501_30min,SRP066450
SRR2936995,RNA-Seq,52,792705472,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18501,PRJNA302818,SAMN04280386,567894737,NA18501,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439698,GSM1945936,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945936,4sU-seq of YRI individual NA18501_30min,SRP066450
SRR2936996,RNA-Seq,52,1093708876,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18501,PRJNA302818,SAMN04280387,769413492,NA18501,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439699,GSM1945937,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945937,4sU-seq of YRI individual NA18501_60min,SRP066450
SRR2936997,RNA-Seq,52,1116879244,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18501,PRJNA302818,SAMN04280388,771106807,NA18501,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439700,GSM1945938,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945938,4sU-seq of YRI individual NA18501_60min,SRP066450
SRR2936998,RNA-Seq,52,1040916656,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18501,PRJNA302818,SAMN04280389,742660237,NA18501,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439701,GSM1945939,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945939,4sU-seq of YRI individual NA18501_60min,SRP066450
SRR2936999,RNA-Seq,52,602913480,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280390,436328448,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439702,GSM1945940,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945940,4sU-seq of YRI individual NA18502_30min,SRP066450
SRR2937000,RNA-Seq,52,3070548,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280391,2444365,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439703,GSM1945941,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945941,4sU-seq of YRI individual NA18502_30min,SRP066450
SRR2937001,RNA-Seq,52,813242300,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280392,576176130,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439704,GSM1945942,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945942,4sU-seq of YRI individual NA18502_30min,SRP066450
SRR2937002,RNA-Seq,52,788537308,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280393,564817062,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439705,GSM1945943,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945943,4sU-seq of YRI individual NA18502_30min,SRP066450
SRR2937003,RNA-Seq,52,782626156,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280424,554270050,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439706,GSM1945944,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945944,4sU-seq of YRI individual NA18502_30min,SRP066450
SRR2937004,RNA-Seq,52,1021564752,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280425,738335731,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439707,GSM1945945,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945945,4sU-seq of YRI individual NA18502_60min,SRP066450
SRR2937005,RNA-Seq,52,5492500,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280426,4343186,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439708,GSM1945946,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945946,4sU-seq of YRI individual NA18502_60min,SRP066450
SRR2937006,RNA-Seq,52,999573536,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280427,705546437,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439709,GSM1945947,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945947,4sU-seq of YRI individual NA18502_60min,SRP066450
SRR2937007,RNA-Seq,52,973030396,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280428,694401959,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439710,GSM1945948,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945948,4sU-seq of YRI individual NA18502_60min,SRP066450
SRR2937008,RNA-Seq,52,965707860,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18502,PRJNA302818,SAMN04280429,681303654,NA18502,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439711,GSM1945949,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945949,4sU-seq of YRI individual NA18502_60min,SRP066450
SRR2937009,RNA-Seq,52,1062662224,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280430,764435106,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439712,GSM1945950,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945950,4sU-seq of YRI individual NA18504_30min,SRP066450
SRR2937010,RNA-Seq,52,845903656,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280431,624844613,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439713,GSM1945951,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945951,4sU-seq of YRI individual NA18504_30min,SRP066450
SRR2937011,RNA-Seq,52,894198136,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280432,648032648,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439714,GSM1945952,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945952,4sU-seq of YRI individual NA18504_30min,SRP066450
SRR2937012,RNA-Seq,52,514497256,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280433,364161595,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439715,GSM1945953,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945953,4sU-seq of YRI individual NA18504_30min,SRP066450
SRR2937013,RNA-Seq,52,497673592,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280434,356257629,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439716,GSM1945954,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945954,4sU-seq of YRI individual NA18504_30min,SRP066450
SRR2937014,RNA-Seq,52,496801084,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280435,351525854,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439717,GSM1945955,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945955,4sU-seq of YRI individual NA18504_30min,SRP066450
SRR2937015,RNA-Seq,52,867008636,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280436,614885952,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439718,GSM1945956,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945956,4sU-seq of YRI individual NA18504_60min,SRP066450
SRR2937016,RNA-Seq,52,690683032,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280437,504067191,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439719,GSM1945957,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945957,4sU-seq of YRI individual NA18504_60min,SRP066450
SRR2937017,RNA-Seq,52,733225272,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280438,523947244,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439720,GSM1945958,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945958,4sU-seq of YRI individual NA18504_60min,SRP066450
SRR2937018,RNA-Seq,52,884876252,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280439,624966188,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439721,GSM1945959,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945959,4sU-seq of YRI individual NA18504_60min,SRP066450
SRR2937019,RNA-Seq,52,859306032,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280440,613623344,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439722,GSM1945960,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945960,4sU-seq of YRI individual NA18504_60min,SRP066450
SRR2937020,RNA-Seq,52,853657012,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18504,PRJNA302818,SAMN04280441,602646454,NA18504,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439723,GSM1945961,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945961,4sU-seq of YRI individual NA18504_60min,SRP066450
SRR2937021,RNA-Seq,50,363381600,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18505,PRJNA302818,SAMN04280442,158725215,NA18505,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439724,GSM1945962,30min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945962,4sU-seq of YRI individual NA18505_30min,SRP066450
SRR2937022,RNA-Seq,50,316920000,https://catalog.coriell.org/0/Sections/Search/Sample_Detail.aspx?Ref=NA18505,PRJNA302818,SAMN04280443,138265882,NA18505,lymphoblastoid cell line (LCL),GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1439725,GSM1945963,60min,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2016-03-29T00:00:00Z,GSM1945963,4sU-seq of YRI individual NA18505_60min,SRP066450
