study_accession	sample_accession	run_accession	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	experiment_alias	fastq_ftp	fastq_aspera	sample_alias	sample_title
PRJNA302818	SAMN04280424	SRR2937003			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945944	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937003/SRR2937003.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937003/SRR2937003.fastq.gz	GSM1945944	4sU-seq of YRI individual (NA18502) [18502-30-2_C311JACXX-7-07]
PRJNA302818	SAMN04280425	SRR2937004			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937004/SRR2937004.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937004/SRR2937004.fastq.gz	GSM1945945	4sU-seq of YRI individual (NA18502) [18502-60-1_C30BHACXX-4-19]
PRJNA302818	SAMN04280426	SRR2937005			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945946	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937005/SRR2937005.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937005/SRR2937005.fastq.gz	GSM1945946	4sU-seq of YRI individual (NA18502) [18502-60-1_C30NNACXX-4-19]
PRJNA302818	SAMN04280427	SRR2937006			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945947	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937006/SRR2937006.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937006/SRR2937006.fastq.gz	GSM1945947	4sU-seq of YRI individual (NA18502) [18502-60-2_C30BHACXX-7-08]
PRJNA302818	SAMN04280428	SRR2937007			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945948	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937007/SRR2937007.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937007/SRR2937007.fastq.gz	GSM1945948	4sU-seq of YRI individual (NA18502) [18502-60-2_C30NNACXX-7-08]
PRJNA302818	SAMN04280429	SRR2937008			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945949	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937008/SRR2937008.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937008/SRR2937008.fastq.gz	GSM1945949	4sU-seq of YRI individual (NA18502) [18502-60-2_C311JACXX-7-08]
PRJNA302818	SAMN04280430	SRR2937009			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945950	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937009/SRR2937009.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937009/SRR2937009.fastq.gz	GSM1945950	4sU-seq of YRI individual (NA18504) [18504-30-1_C30BHACXX-6-22]
PRJNA302818	SAMN04280431	SRR2937010			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945951	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937010/SRR2937010.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937010/SRR2937010.fastq.gz	GSM1945951	4sU-seq of YRI individual (NA18504) [18504-30-1_C30NNACXX-6-22]
PRJNA302818	SAMN04280432	SRR2937011			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945952	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937011/SRR2937011.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937011/SRR2937011.fastq.gz	GSM1945952	4sU-seq of YRI individual (NA18504) [18504-30-1_C311JACXX-6-22]
PRJNA302818	SAMN04280433	SRR2937012			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945953	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937012/SRR2937012.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937012/SRR2937012.fastq.gz	GSM1945953	4sU-seq of YRI individual (NA18504) [18504-30-2_C30BHACXX-7-09]
PRJNA302818	SAMN04280434	SRR2937013			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945954	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937013/SRR2937013.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937013/SRR2937013.fastq.gz	GSM1945954	4sU-seq of YRI individual (NA18504) [18504-30-2_C30NNACXX-7-09]
PRJNA302818	SAMN04280435	SRR2937014			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945955	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937014/SRR2937014.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937014/SRR2937014.fastq.gz	GSM1945955	4sU-seq of YRI individual (NA18504) [18504-30-2_C311JACXX-7-09]
PRJNA302818	SAMN04280436	SRR2937015			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945956	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937015/SRR2937015.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937015/SRR2937015.fastq.gz	GSM1945956	4sU-seq of YRI individual (NA18504) [18504-60-1_C30BHACXX-6-23]
PRJNA302818	SAMN04280437	SRR2937016			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945957	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937016/SRR2937016.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937016/SRR2937016.fastq.gz	GSM1945957	4sU-seq of YRI individual (NA18504) [18504-60-1_C30NNACXX-6-23]
PRJNA302818	SAMN04280438	SRR2937017			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945958	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937017/SRR2937017.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937017/SRR2937017.fastq.gz	GSM1945958	4sU-seq of YRI individual (NA18504) [18504-60-1_C311JACXX-6-23]
PRJNA302818	SAMN04280439	SRR2937018			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945959	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937018/SRR2937018.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937018/SRR2937018.fastq.gz	GSM1945959	4sU-seq of YRI individual (NA18504) [18504-60-2_C30BHACXX-7-10]
PRJNA302818	SAMN04280440	SRR2937019			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945960	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937019/SRR2937019.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937019/SRR2937019.fastq.gz	GSM1945960	4sU-seq of YRI individual (NA18504) [18504-60-2_C30NNACXX-7-10]
PRJNA302818	SAMN04280441	SRR2937020			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945961	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937020/SRR2937020.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937020/SRR2937020.fastq.gz	GSM1945961	4sU-seq of YRI individual (NA18504) [18504-60-2_C311JACXX-7-10]
PRJNA302818	SAMN04280442	SRR2937021			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945962	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937021/SRR2937021.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937021/SRR2937021.fastq.gz	GSM1945962	4sU-seq of YRI individual (NA18505) [18505-30-1_D2775ACXX-1-01]
PRJNA302818	SAMN04280443	SRR2937022			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945963	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937022/SRR2937022.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937022/SRR2937022.fastq.gz	GSM1945963	4sU-seq of YRI individual (NA18505) [18505-60-1_D2775ACXX-1-02]
PRJNA302818	SAMN04280444	SRR2937023			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945964	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937023/SRR2937023.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937023/SRR2937023.fastq.gz	GSM1945964	4sU-seq of YRI individual (NA18507) [18507-30-1_D2775ACXX-1-07]
PRJNA302818	SAMN04280445	SRR2937024			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937024/SRR2937024.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937024/SRR2937024.fastq.gz	GSM1945965	4sU-seq of YRI individual (NA18507) [18507-60-1_D2775ACXX-1-08]
PRJNA302818	SAMN04280446	SRR2937025			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945966	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937025/SRR2937025.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937025/SRR2937025.fastq.gz	GSM1945966	4sU-seq of YRI individual (NA18508) [18508-30-1_D2775ACXX-1-09]
PRJNA302818	SAMN04280447	SRR2937026			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945967	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937026/SRR2937026.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937026/SRR2937026.fastq.gz	GSM1945967	4sU-seq of YRI individual (NA18508) [18508-60-1_D2775ACXX-1-10]
PRJNA302818	SAMN04280448	SRR2937027			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945968	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/007/SRR2937027/SRR2937027.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/007/SRR2937027/SRR2937027.fastq.gz	GSM1945968	4sU-seq of YRI individual (NA18510) [18510-30-1_C30BHACXX-2-15]
PRJNA302818	SAMN04280449	SRR2937028			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945969	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/008/SRR2937028/SRR2937028.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/008/SRR2937028/SRR2937028.fastq.gz	GSM1945969	4sU-seq of YRI individual (NA18510) [18510-30-1_C30NNACXX-2-15]
PRJNA302818	SAMN04280450	SRR2937029			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945970	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/009/SRR2937029/SRR2937029.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/009/SRR2937029/SRR2937029.fastq.gz	GSM1945970	4sU-seq of YRI individual (NA18510) [18510-30-1_C311JACXX-2-15]
PRJNA302818	SAMN04280451	SRR2937030			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945971	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/000/SRR2937030/SRR2937030.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/000/SRR2937030/SRR2937030.fastq.gz	GSM1945971	4sU-seq of YRI individual (NA18510) [18510-60-1_C30BHACXX-2-16]
PRJNA302818	SAMN04280399	SRR2937031			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945972	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/001/SRR2937031/SRR2937031.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/001/SRR2937031/SRR2937031.fastq.gz	GSM1945972	4sU-seq of YRI individual (NA18510) [18510-60-1_C30NNACXX-2-16]
PRJNA302818	SAMN04280400	SRR2937032			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/002/SRR2937032/SRR2937032.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/002/SRR2937032/SRR2937032.fastq.gz	GSM1945973	4sU-seq of YRI individual (NA18510) [18510-60-1_C311JACXX-2-16]
PRJNA302818	SAMN04280452	SRR2937033			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945974	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/003/SRR2937033/SRR2937033.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/003/SRR2937033/SRR2937033.fastq.gz	GSM1945974	4sU-seq of YRI individual (NA18511) [18511-30-1_D2775ACXX-8-20]
PRJNA302818	SAMN04280453	SRR2937034			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945975	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/004/SRR2937034/SRR2937034.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/004/SRR2937034/SRR2937034.fastq.gz	GSM1945975	4sU-seq of YRI individual (NA18511) [18511-30-2_C30BHACXX-8-15]
PRJNA302818	SAMN04280394	SRR2937035			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945976	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/005/SRR2937035/SRR2937035.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/005/SRR2937035/SRR2937035.fastq.gz	GSM1945976	4sU-seq of YRI individual (NA18511) [18511-30-2_C30NNACXX-8-15]
PRJNA302818	SAMN04280395	SRR2937036			SINGLE	RNA-Seq	TRANSCRIPTOMIC	cDNA	GSM1945977	ftp.sra.ebi.ac.uk/vol1/fastq/SRR293/006/SRR2937036/SRR2937036.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR293/006/SRR2937036/SRR2937036.fastq.gz	GSM1945977	4sU-seq of YRI individual (NA18511) [18511-30-2_C311JACXX-8-15]
