study_accession	sample_accession	run_accession	library_name	nominal_length	library_layout	library_selection	fastq_ftp	sample_alias
PRJEB1350	SAMEA1706509	ERR225842	2850736	226	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225842/ERR225842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225842/ERR225842_2.fastq.gz	GM11992-sc-2011-06-09T13:38:24Z-1162231
PRJEB1350	SAMEA1706511	ERR225843	2850737	226	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225843/ERR225843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225843/ERR225843_2.fastq.gz	GM11994-sc-2011-06-09T13:38:25Z-1162233
PRJEB1350	SAMEA1706514	ERR225844	2851101	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225844/ERR225844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225844/ERR225844_2.fastq.gz	GM12005-sc-2011-06-09T13:38:28Z-1162237
PRJEB1350	SAMEA1706516	ERR225845	2851104	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225845/ERR225845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225845/ERR225845_2.fastq.gz	GM12006-sc-2011-06-09T13:38:29Z-1162238
PRJEB1350	SAMEA1706519	ERR225846	2919712	220	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225846/ERR225846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225846/ERR225846_2.fastq.gz	GM12234-sc-2011-06-09T13:38:33Z-1162246
PRJEB1350	SAMEA1706520	ERR225847	2919713	220	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225847/ERR225847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225847/ERR225847_2.fastq.gz	GM12249-sc-2011-06-09T13:38:34Z-1162247
PRJEB1350	SAMEA1706523	ERR225848	2919719	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225848/ERR225848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225848/ERR225848_2.fastq.gz	GM12749-sc-2011-06-09T13:38:36Z-1162252
PRJEB1350	SAMEA1706524	ERR225849	2919720	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225849/ERR225849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225849/ERR225849_2.fastq.gz	GM12812-sc-2011-06-09T13:38:41Z-1162260
PRJEB1350	SAMEA1706531	ERR225850	3055154	216	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225850/ERR225850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225850/ERR225850_2.fastq.gz	GM12762-sc-2011-06-09T13:38:39Z-1162257
PRJEB1350	SAMEA1706533	ERR225851	3055155	216	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225851/ERR225851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225851/ERR225851_2.fastq.gz	GM12763-sc-2011-06-09T13:38:39Z-1162258
PRJEB1350	SAMEA1706525	ERR225852	2977758	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225852/ERR225852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225852/ERR225852_2.fastq.gz	GM12814-sc-2011-06-09T13:38:42Z-1162262
PRJEB1350	SAMEA1706529	ERR225853	2977764	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225853/ERR225853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225853/ERR225853_2.fastq.gz	GM12815-sc-2011-06-09T13:38:42Z-1162263
PRJEB1350	SAMEA1706534	ERR225854	2978748	208	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225854/ERR225854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225854/ERR225854_2.fastq.gz	GM12828-sc-2011-06-09T13:38:43Z-1162264
PRJEB1350	SAMEA1706532	ERR225855	2978749	208	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225855/ERR225855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225855/ERR225855_2.fastq.gz	GM12872-sc-2011-06-09T13:38:44Z-1162265
PRJEB1350	SAMEA1706499	ERR225856	2978844	220	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225856/ERR225856_2.fastq.gz	GM11830-sc-2011-06-09T13:38:18Z-1162221
PRJEB1350	SAMEA1706502	ERR225857	2978845	220	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225857/ERR225857_2.fastq.gz	GM11840-sc-2011-06-09T13:38:20Z-1162224
PRJEB1350	SAMEA1706507	ERR225858	2978848	215	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225858/ERR225858_2.fastq.gz	GM11920-sc-2011-06-09T13:38:23Z-1162229
PRJEB1350	SAMEA1706510	ERR225859	2978849	215	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225859/ERR225859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225859/ERR225859_2.fastq.gz	GM11993-sc-2011-06-09T13:38:25Z-1162232
PRJEB1350	SAMEA1706512	ERR225860	3055148	226	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225860/ERR225860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225860/ERR225860_2.fastq.gz	GM11995-sc-2011-06-09T13:38:26Z-1162234
PRJEB1350	SAMEA1706518	ERR225861	3055149	226	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225861/ERR225861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225861/ERR225861_2.fastq.gz	GM12043-sc-2011-06-09T13:38:29Z-1162239
PRJEB1350	SAMEA1706517	ERR225862	3055150	218	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225862/ERR225862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225862/ERR225862_2.fastq.gz	GM12144-sc-2011-06-09T13:38:30Z-1162242
PRJEB1350	SAMEA1706530	ERR225864	3055152	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225864/ERR225864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225864/ERR225864_2.fastq.gz	GM12750-sc-2011-06-09T13:38:37Z-1162253
PRJEB1350	SAMEA1706526	ERR225865	3055153	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225865/ERR225865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225865/ERR225865_2.fastq.gz	GM12760-sc-2011-06-09T13:38:38Z-1162255
PRJEB1350	SAMEA1706528	ERR225866	3144632	212	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225866/ERR225866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225866/ERR225866_2.fastq.gz	GM12874-sc-2011-06-09T13:38:45Z-1162267
PRJEB1350	SAMEA1706535	ERR225867	3144633	212	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225867/ERR225867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225867/ERR225867_2.fastq.gz	GM12891_rep1-sc-2011-06-09T13:38:46Z-1162268
PRJEB1350	SAMEA1706493	ERR225868	3145059	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225868/ERR225868_2.fastq.gz	GM07051-sc-2011-06-09T13:38:14Z-1162214
PRJEB1350	SAMEA1706508	ERR225869	3145060	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225869/ERR225869_2.fastq.gz	GM11931-sc-2011-06-09T13:38:24Z-1162230
PRJEB1350	SAMEA1706513	ERR225870	3145061	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225870/ERR225870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225870/ERR225870_2.fastq.gz	GM12003-sc-2011-06-09T13:38:26Z-1162235
PRJEB1350	SAMEA1706515	ERR225871	3145062	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225871/ERR225871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225871/ERR225871_2.fastq.gz	GM12004-sc-2011-06-09T13:38:27Z-1162236
PRJEB1350	SAMEA1706490	ERR225872	3370352	240	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225872/ERR225872_2.fastq.gz	GM06986-sc-2011-06-09T13:38:11Z-1162210
PRJEB1350	SAMEA1706492	ERR225874	3370379	232	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225874/ERR225874_2.fastq.gz	GM07037-sc-2011-06-09T13:38:13Z-1162213
PRJEB1350	SAMEA1706494	ERR225875	3370380	232	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225875/ERR225875_2.fastq.gz	GM07346-sc-2011-06-09T13:38:15Z-1162215
PRJEB1350	SAMEA1706525	ERR225876	2977758	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225876/ERR225876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225876/ERR225876_2.fastq.gz	GM12814-sc-2011-06-09T13:38:42Z-1162262
PRJEB1350	SAMEA1706529	ERR225877	2977764	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225877/ERR225877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225877/ERR225877_2.fastq.gz	GM12815-sc-2011-06-09T13:38:42Z-1162263
PRJEB1350	SAMEA1706499	ERR225878	2978844	220	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225878/ERR225878_2.fastq.gz	GM11830-sc-2011-06-09T13:38:18Z-1162221
PRJEB1350	SAMEA1706502	ERR225879	2978845	220	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225879/ERR225879_2.fastq.gz	GM11840-sc-2011-06-09T13:38:20Z-1162224
PRJEB1350	SAMEA1706495	ERR225880	3370381	228	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225880/ERR225880_2.fastq.gz	GM07357-sc-2011-06-09T13:38:16Z-1162217
PRJEB1350	SAMEA1706500	ERR225883	3370384	226	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225883/ERR225883_2.fastq.gz	GM11831-sc-2011-06-09T13:38:19Z-1162222
PRJEB1350	SAMEA1706527	ERR225884	3633630	192	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225884/ERR225884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225884/ERR225884_2.fastq.gz	GM12761-sc-2011-06-09T13:38:39Z-1162256
PRJEB1350	SAMEA1706537	ERR225885	3633631	192	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225885/ERR225885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225885/ERR225885_2.fastq.gz	GM12892_rep3-sc-2011-06-09T13:38:50Z-1162275
PRJEB1350	SAMEA1706496	ERR225886	3633632	212	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225886/ERR225886_2.fastq.gz	GM11829-sc-2011-06-09T13:38:18Z-1162220
PRJEB1350	SAMEA1706536	ERR225889	3737639	247	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225889/ERR225889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225889/ERR225889_2.fastq.gz	GM12891_rep4-sc-2011-06-09T13:38:47Z-1162271
PRJEB1350	SAMEA1706539	ERR225890	3737640	252	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225890/ERR225890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225890/ERR225890_2.fastq.gz	GM12892_rep4-sc-2011-06-09T13:38:50Z-1162276
PRJEB1350	SAMEA1706538	ERR225891	3737641	252	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225891/ERR225891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225891/ERR225891_2.fastq.gz	GM12892_rep5-sc-2011-06-09T13:38:51Z-1162277
PRJEB1350	SAMEA1706592	ERR225892	3737643	210	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225892/ERR225892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225892/ERR225892_2.fastq.gz	GM12891B2_69-sc-2011-09-30T11:53:08Z-1283445
PRJEB1350	SAMEA1706593	ERR225893	3737642	210	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225893/ERR225893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225893/ERR225893_2.fastq.gz	GM12892B1_70-sc-2011-09-30T11:53:09Z-1283446
PRJEB1350	SAMEA1706590	ERR225894	3737644	213	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225894/ERR225894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225894/ERR225894_2.fastq.gz	GM12155i_71-sc-2011-09-30T11:53:10Z-1283447
PRJEB1350	SAMEA1706591	ERR225895	3737645	213	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225895/ERR225895_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR225/ERR225895/ERR225895_2.fastq.gz	GM12872i_72-sc-2011-09-30T11:53:11Z-1283448
PRJEB1350	SAMEA1706501	ERR720266	2850732	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720266/ERR720266_2.fastq.gz	GM11832-sc-2011-06-09T13:38:20Z-1162223
PRJEB1350	SAMEA1706503	ERR720267	2850733	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720267/ERR720267_2.fastq.gz	GM11881-sc-2011-06-09T13:38:21Z-1162225
PRJEB1350	SAMEA1945966	ERR720268	2919523	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720268/ERR720268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720268/ERR720268_2.fastq.gz	GM12154-sc-2011-06-09T13:38:31Z-1162243
PRJEB1350	SAMEA1946043	ERR720269	2919524	222	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720269/ERR720269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720269/ERR720269_2.fastq.gz	GM12155-sc-2011-06-09T13:38:31Z-1162244
PRJEB1350	SAMEA1944367	ERR720270	2919716	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720270/ERR720270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720270/ERR720270_2.fastq.gz	GM12287-sc-2011-06-09T13:38:34Z-1162248
PRJEB1350	SAMEA2033962	ERR720271	2919717	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720271/ERR720271_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720271/ERR720271_2.fastq.gz	GM12489-sc-2011-06-09T13:38:35Z-1162250
PRJEB1350	SAMEA1946044	ERR720272	3144630	216	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720272/ERR720272_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720272/ERR720272_2.fastq.gz	GM12776-sc-2011-06-09T13:38:41Z-1162259
PRJEB1350	SAMEA1945967	ERR720273	3144631	216	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720273/ERR720273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720273/ERR720273_2.fastq.gz	GM12813-sc-2011-06-09T13:38:42Z-1162261
PRJEB1350	SAMEA1706501	ERR720274	2850732	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720274/ERR720274_2.fastq.gz	GM11832-sc-2011-06-09T13:38:20Z-1162223
PRJEB1350	SAMEA1706503	ERR720275	2850733	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720275/ERR720275_2.fastq.gz	GM11881-sc-2011-06-09T13:38:21Z-1162225
PRJEB1350	SAMEA1945966	ERR720276	2919523	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720276/ERR720276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720276/ERR720276_2.fastq.gz	GM12154-sc-2011-06-09T13:38:31Z-1162243
PRJEB1350	SAMEA1946043	ERR720277	2919524	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720277/ERR720277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720277/ERR720277_2.fastq.gz	GM12155-sc-2011-06-09T13:38:31Z-1162244
PRJEB1350	SAMEA1944367	ERR720278	2919716	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720278/ERR720278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720278/ERR720278_2.fastq.gz	GM12287-sc-2011-06-09T13:38:34Z-1162248
PRJEB1350	SAMEA2033962	ERR720279	2919717	223	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720279/ERR720279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720279/ERR720279_2.fastq.gz	GM12489-sc-2011-06-09T13:38:35Z-1162250
PRJEB1350	SAMEA1946042	ERR720280	3259844	228	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720280/ERR720280_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720280/ERR720280_2.fastq.gz	GM12045-sc-2011-06-09T13:38:30Z-1162241
PRJEB1350	SAMEA1944366	ERR720281	3259865	228	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720281/ERR720281_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720281/ERR720281_2.fastq.gz	GM12156-sc-2011-06-09T13:38:33Z-1162245
PRJEB1350	SAMEA1944368	ERR720282	3260237	211	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720282/ERR720282_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720282/ERR720282_2.fastq.gz	GM12751-sc-2011-06-09T13:38:38Z-1162254
PRJEB1350	SAMEA1944501	ERR720283	3260823	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720283/ERR720283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720283/ERR720283_2.fastq.gz	GM12891_rep2-sc-2011-06-09T13:38:46Z-1162269
PRJEB1350	SAMEA1946026	ERR720284	3260824	221	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720284/ERR720284_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720284/ERR720284_2.fastq.gz	GM12891_rep3-sc-2011-06-09T13:38:47Z-1162270
PRJEB1350	SAMEA1946045	ERR720285	3260872	214	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720285/ERR720285_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720285/ERR720285_2.fastq.gz	GM12892_rep2-sc-2011-06-09T13:38:49Z-1162274
PRJEB1350	SAMEA1944368	ERR720286	3260237	211	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720286/ERR720286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720286/ERR720286_2.fastq.gz	GM12751-sc-2011-06-09T13:38:38Z-1162254
PRJEB1350	SAMEA1944500	ERR720287	3260239	211	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720287/ERR720287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720287/ERR720287_2.fastq.gz	GM12873-sc-2011-06-09T13:38:44Z-1162266
PRJEB1350	SAMEA1706495	ERR720288	3370381	228	PAIRED	ChIP	ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR720/ERR720288/ERR720288_2.fastq.gz	GM07357-sc-2011-06-09T13:38:16Z-1162217
