IndID	Assay	Phenotype	study_accession	R1_ftp	R2_ftp	R1_aspera	R2_aspera	R1_local	R2_local	notes	IsIn1KG.Phase3	Include	RepNumber	PairedEnd
HG00109	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188328/ERR188328_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188328/ERR188328_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00110	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188082/ERR188082_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188082/ERR188082_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00111	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188342/ERR188342_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188342/ERR188342_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00112	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188465/ERR188465_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188465/ERR188465_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00114	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188071/ERR188071_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188071/ERR188071_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00115	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188186/ERR188186_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188186/ERR188186_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00116	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188293/ERR188293_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188293/ERR188293_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00117	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188219/ERR188219_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188219/ERR188219_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00118	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188236/ERR188236_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00119	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188119/ERR188119_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188119/ERR188119_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00120	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188315/ERR188315_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188315/ERR188315_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00121	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188087/ERR188087_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188087/ERR188087_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00122	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188285/ERR188285_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188285/ERR188285_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00123	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188035/ERR188035_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00124	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188310/ERR188310_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188310/ERR188310_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00125	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188059/ERR188059_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188059/ERR188059_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00126	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188461/ERR188461_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188461/ERR188461_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00127	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188337/ERR188337_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188337/ERR188337_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00128	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188245/ERR188245_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188245/ERR188245_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00129	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188412/ERR188412_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188412/ERR188412_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00130	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188443/ERR188443_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188443/ERR188443_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00131	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188403/ERR188403_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188403/ERR188403_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00132	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188430/ERR188430_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188430/ERR188430_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00133	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188189/ERR188189_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188189/ERR188189_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00134	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188338/ERR188338_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188338/ERR188338_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00135	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188133/ERR188133_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188133/ERR188133_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00136	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188383/ERR188383_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188383/ERR188383_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00137	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188095/ERR188095_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00138	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188385/ERR188385_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188385/ERR188385_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00139	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188144/ERR188144_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188144/ERR188144_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00141	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188401/ERR188401_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188401/ERR188401_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00142	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188466/ERR188466_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188466/ERR188466_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00143	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188257/ERR188257_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188257/ERR188257_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00145	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188073/ERR188073_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188073/ERR188073_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00146	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188455/ERR188455_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188455/ERR188455_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00148	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188379/ERR188379_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188379/ERR188379_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00149	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188065/ERR188065_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188065/ERR188065_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00150	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188309/ERR188309_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188309/ERR188309_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00151	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188116/ERR188116_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188116/ERR188116_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00152	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188084/ERR188084_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188084/ERR188084_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00154	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188468/ERR188468_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188468/ERR188468_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00155	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188028/ERR188028_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00156	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188287/ERR188287_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188287/ERR188287_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00157	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188041/ERR188041_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00158	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188332/ERR188332_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188332/ERR188332_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00159	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188164/ERR188164_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188164/ERR188164_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00160	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188387/ERR188387_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188387/ERR188387_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00171	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188190/ERR188190_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188190/ERR188190_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00173	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188445/ERR188445_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188445/ERR188445_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00174	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188163/ERR188163_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188163/ERR188163_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00176	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188187/ERR188187_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188187/ERR188187_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00177	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188180/ERR188180_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188180/ERR188180_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00178	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188248/ERR188248_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00179	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188304/ERR188304_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188304/ERR188304_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00180	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188146/ERR188146_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188146/ERR188146_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00181	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188118/ERR188118_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188118/ERR188118_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00182	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188149/ERR188149_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188149/ERR188149_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00183	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188302/ERR188302_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188302/ERR188302_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00185	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188320/ERR188320_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188320/ERR188320_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00186	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188090/ERR188090_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188090/ERR188090_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00187	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188425/ERR188425_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188425/ERR188425_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00188	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188400/ERR188400_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188400/ERR188400_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00189	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188361/ERR188361_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188361/ERR188361_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00231	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188212/ERR188212_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188212/ERR188212_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00232	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188289/ERR188289_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188289/ERR188289_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00233	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188312/ERR188312_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188312/ERR188312_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00234	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188237/ERR188237_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188237/ERR188237_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00235	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188450/ERR188450_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188450/ERR188450_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
HG00236	RNA-seq	Expression.Splicing	E-GEUV-1	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_1.fastq.gz	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188036/ERR188036_2.fastq.gz	NA	NA	NA	NA	NA	TRUE	TRUE	1	TRUE
